Unique Identifier (SKU),Title,Cost,Product Type,Delivery time,Pictures,Bullet points,Details,Options,URL,Reviews,Seller,Category,Inventory,Special Offer,Fulfillment,Date
10294431,"EAS Myoplex Original Ready-to-Drink Nutrition Shake, French Vanilla, 500 mL (Pack of 4)",9.87,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/b8894201-11ed-4045-8857-08db1389e669_1.c6f5a201e436431f51aa747dee296d2b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4c68cd84-8d51-42b1-93d9-5b64afff4bde_1.de21788932c5a87aec5670762d44391b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/2a3f14f9-33ad-4800-9cdc-31a0fc4f520c_1.4dee20fbecfecc7a30dd10056f237639.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9e56612d-d7e2-4030-bbd2-a9593b36988f_1.b68a86fbf0c2487c2173bfca702b7773.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/64adab5f-7e9d-4bca-8ffd-081f4d14d7f8_1.60816a323348429d21f63326eb7ded42.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/989a1c5b-12e9-4c3e-91d0-2f8bddbb139b_1.fc3a63e94465bc3db56d72d0c2fcc45b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/14980930-26ad-4f2d-a0cf-091158b7f1ba_1.4ac293d30720cd299e9844cb5cb994bc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>Includes 42 grams of protein with a sustained-release amino acid profile that is designed to promote muscle protein synthesis</li>
<li>8.75 grams of BCAAs help muscles recuperate after strenuous</li>","[{'name': 'Gender', 'value': 'Unisex'}, {'name': 'Type', 'value': 'Liquids'}, {'name': 'Food Form', 'value': 'PREPARED'}, {'name': 'Capacity', 'value': '4 - 17 fl oz (500 ml) shakes [2 qt 4 fl oz (2 lt)]'}, {'name': 'Count', 'value': '4'}, {'name': 'Model', 'value': '59143'}, {'name': 'Brand', 'value': 'EAS'}, {'name': 'Age Group', 'value': 'Adult,Teen'}, {'name': 'Food Allergen Statements', 'value': 'Contains milk ingredients.'}, {'name': 'Flavor', 'value': 'French Vanilla'}, {'name': 'Size', 'value': '4'}, {'name': 'Form', 'value': 'Shelf Stable,Sleeve'}, {'name': 'Container Type', 'value': 'SLEEVE'}, {'name': 'Features', 'value': '8.75 grams of BCAAs,Provides 24 vitamins and minerals for daily nutrition'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '5.12 x 5.00 x 6.62 Inches'}]",,https://www.walmart.com/ip/EAS-Myoplex-French-Vanilla-Ready-to-Drink-Shake-17-fl-oz-carton-4-count/10294431,2,Walmart.com,Home Page/Health/Diet & Nutrition/Nutritional Bars & Drinks,8,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:39:34
10308411,"Glucerna Snack Shake Vanilla, 8 Ounce Cans, (Pack of 4)",5.54,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/ea161ae0-b826-432c-8864-8c4bdc7831d7_1.00bb254bbf3b951773bbef9d70d8d55d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6d7f83b0-86fa-4894-b078-1e2f23c4086e_1.7de80c6700702d8fdf488a516ff26577.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/be125c7b-0808-4d0d-88ab-123de01c7bbb_1.b1e418f266f0f13b96b9b6eb95754e1c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/45fa36fd-39e6-4402-afd0-19fca2dee9de_1.a7609a37454efaa1a98e1df9394a328a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/df31340c-29db-40ed-9ce1-8617b28bef04_1.cc6442539b7648e64ae26325361d0ab2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9db3187e-9d34-42a6-b923-71e6efd4fc50_1.4d767bb10409ad35fa7bc3e06812a57b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/f03ef610-6d82-4ca1-8a0f-840d266c4108_1.92764a19e401e44dbfd02b66137d654d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Glucerna Snack Shake is specially formulated for people with diabetes.,"[{'name': 'Type', 'value': 'Glucose Food'}, {'name': 'Food Form', 'value': 'Liquids'}, {'name': 'Capacity', 'value': '4 - 8 fl oz (237 ml) cans [1 qt (948 ml)]'}, {'name': 'Food Allergen Statements', 'value': 'Contains milk and soy ingredients.'}, {'name': 'Flavor', 'value': 'Homemade vanilla'}, {'name': 'Size', 'value': '4 ct'}, {'name': 'Form', 'value': 'Ready to Drink'}, {'name': 'Container Type', 'value': 'Box'}, {'name': 'Model', 'value': '0007007459857'}, {'name': 'Brand', 'value': 'Glucerna'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '5.38 x 5.38 x 3.50 Inches'}]",,https://www.walmart.com/ip/Glucerna-Snack-Shake-Homemade-Vanilla-8-fl-oz-can-4-count/10308411,15,Walmart.com,Home Page/Health/Home Health Care/Adult Nutrition,8166,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
13863708,"PediaSure Grow & Gain Nutrition Shake For Kids, Vanilla, 8 fl oz (Pack of 6)",10.97,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/1505067c-1bbb-4d8b-8bd7-a83d58258119_1.b7e5aa75872a44a22946ce22aed95407.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4f196535-41bd-4073-bdaa-ce593668043c_1.69ef3534216cadb58945230857720d79.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c6725a4e-0915-4f13-acf7-13bf43fd2574_1.b732014e294104474402be919c55cb80.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/e15635c5-fddc-4868-bfea-fe99210136da_1.cb42f804379035631d0f4353ffc2f92f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/931974e1-42a6-4e6b-8fb0-ffb7b60256fd_1.63bb7d097e02c7535b0139c739465242.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b89705cb-3e53-4c73-b5ad-b88c3c0f6021_1.a21b579047853f9e14f0ca78f7a08296.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d53075a3-d20d-45bd-be41-3e24579f890a_1.6b537f80dad956a1554df3201dbee67f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",<li>Nutrition to help kids grow</li><li>Clinically proven for weight gain</li><li>240 calories</li>,"[{'name': 'Gender', 'value': 'Girls'}, {'name': 'Type', 'value': 'Nutritional Shakes'}, {'name': 'Food Form', 'value': 'PREPARED'}, {'name': 'Capacity', 'value': '6 - 8 fl oz (237 ml) bottles'}, {'name': 'Flavor', 'value': 'Vanilla'}, {'name': 'Form', 'value': 'Liquids'}, {'name': 'Color', 'value': 'Other'}, {'name': 'Container Type', 'value': 'HICONE'}, {'name': 'Model', 'value': '58049'}, {'name': 'Brand', 'value': 'Pedia Sure'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '6.93 x 4.62 x 5.44 Inches'}]",,https://www.walmart.com/ip/PediaSure-Vanilla-8-fl-oz.-bottle-6-count/13863708,100,Walmart.com,Home Page/Baby/Feeding/Baby Formula,87,,"{u's2SDisplayFlags': [u'PICKUP'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': True}",2017-03-02 17:39:34
19314700,"Ricola Cherry Honey Herb Throat Drops, 10 count, (Pack of 24)",27.83,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/329b22d0-cd64-4d6b-8fae-c358f0fb1e3d_1.ae445d4c799f33b90d6830b7cc5df56e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6ca95014-9084-418d-9f1a-ef342246528b_1.fb15fc2fce6fa875ff8a06ebbb71790b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>Soothing throat drop for tired, scratchy throats</li><li>Perfect for relieving minor everyday throat irritation</li>","[{'name': 'Is Recyclable', 'value': '0%'}, {'name': 'Model', 'value': '70171'}, {'name': 'Brand', 'value': 'Ricola'}, {'name': 'Video Game Platform', 'value': 'PC'}, {'name': 'Recommended Use', 'value': 'Itchy Throat'}, {'name': 'Flavor', 'value': 'Cherry Honey'}, {'name': 'Condition', 'value': 'New'}, {'name': 'Form', 'value': 'DROP'}, {'name': 'Manufacturer Part Number', 'value': 'LIL70171'}, {'name': 'Color', 'value': 'Multicolor'}, {'name': 'Container Type', 'value': 'WRAP'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '6.50 x 4.00 x 2.50 Inches'}]",,https://www.walmart.com/ip/Ricola-Cherry-Honey-Herb-Throat-Drops-10-count-Pack-of-24/19314700,0,Walmart.com,"Home Page/Health/Medicine Cabinet/Cough, Cold & Flu",310,,"{u's2SDisplayFlags': [u'PICKUP'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
20468141,"Pepto-Bismol Upset Stomach Reliever/Anti-Diarrheal Liquid, 16 fl oz, (Pack of 2)",9.94,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/e9d73f3c-84b0-47a0-9a08-c633eff42a51_1.76596ba3df510f1e3c7244bdacccee17.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/7ef63b0e-b891-4da8-bae1-b74895144f69_1.506e4493fc42b6af10d7abc3e276873f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/21a272a9-542e-481c-be61-f5d8f45f527f_1.968fbd556f41bc27c1dabdecca6743d7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c0cdc769-388e-4b73-8089-f9641c169fcc_1.f067d1edf8f0638ef863032f956ccba3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/3c303bcb-8f27-41b0-acb7-82a1b327d493_1.e3cd363350d5c8a9dcd8ac7df8ffcab6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/8f0d613d-092e-46ce-a44c-34d1f69287ee_1.d518e858af65147c5c808f7cfa800aef.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>5 SYMPTOM Digestive Relief: Upset stomach, heartburn, indigestion, nausea, diarrhea</li><li>#1 Pharmacist Recommended Brand</li>","[{'name': 'Age Group', 'value': 'Adult'}, {'name': 'Capacity', 'value': '2 - 16 fl oz bottles [32 fl oz (1 qt) 946 ml)]'}, {'name': 'Flavor', 'value': 'ORIGINAL'}, {'name': 'Condition', 'value': 'New'}, {'name': 'Size', 'value': '2 - 16 fl oz bottles [32 fl oz (1 qt) 946 ml)]'}, {'name': 'Form', 'value': 'Liquids'}, {'name': 'Manufacturer Part Number', 'value': '0149003947'}, {'name': 'Container Type', 'value': 'SLEEVE IN WRAP'}, {'name': 'Model', 'value': '0149003947'}, {'name': 'Brand', 'value': 'Pepto-Bismol'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '2.90 x 2.85 x 7.35 Inches'}]",,https://www.walmart.com/ip/Pepto-Bismol-Original-Wintergreen-Upset-Stomach-Reliever-Anti-diarrhea-16-oz-each-2ct/20468141,15,Walmart.com,Home Page/Health/Medicine Cabinet/Digestion & Nausea,156,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
20669704,"ZzzQuil Nighttime Sleep-Aid Warming Berry Liquid, 12 fl oz, (Pack of 2)",13.47,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/e621bccf-87e5-4e19-90f2-89b800e8300c_1.8f2d66b28f291b8cf1b773db2a188908.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/3b898562-d33b-498d-ade6-59cb1d23bf6c_1.d7e86a48fea92048f09749b88384b675.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9ea0465a-d51e-45f7-807a-f26e2b5f6da1_1.48b7562479f0f6a93e6dbd34de01e7a5.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/5344b7d7-228b-47ff-89c4-502664a77feb_1.856948d62fa93320c06005b30ab94068.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/112eca89-b2e2-4401-8520-5e9bd016858d_1.6d94084345013e6d7bb442b5a799be0b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/12357c77-15bf-4a8b-bf11-57db820ff09e_1.c1f9e2cd1443ebc63e4db1ee6dab50ab.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/1c729d90-c670-4e18-8998-4d88266fc06f_1.7a9a3b2a9e904bb913e282cf89357ee3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>For the relief of occasional sleeplessness</li>
<li>Reduces time to fall asleep if you have difficulty falling asleep</li>","[{'name': 'Age Group', 'value': 'Adult,Teen'}, {'name': 'Type', 'value': 'Liquids'}, {'name': 'Capacity', 'value': '2 - 12 fl oz (354 ml) bottles [24 fl oz (708 ml)]'}, {'name': 'Size', 'value': '1'}, {'name': 'Form', 'value': 'Liquids'}, {'name': 'Manufacturer Part Number', 'value': '2390001619'}, {'name': 'Color', 'value': 'Multi-Colored'}, {'name': 'Container Type', 'value': 'TRAY IN WRAP'}, {'name': 'Model', 'value': '2390001619'}, {'name': 'Brand', 'value': 'Vicks'}, {'name': 'Features', 'value': 'No'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '6.88 x 2.62 x 5.25 Inches'}]",,https://www.walmart.com/ip/ZzzQuil-Nighttime-Sleep-Aid-Liquid-Warming-Berry-Flavor-Twin-Pack-24-Fl-Oz/20669704,317,Walmart.com,Home Page/Health/Medicine Cabinet/Sleep & Snoring Aids,243,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
21090057,"Bach Black Currant Flavor Rescue Pastilles, 1.7 oz (Pack of 12)",94.73,PACKS OF,2-Day Shipping,['https://i5.walmartimages.com/asr/17121c44-49b9-408f-8f32-5f9710013107_1.7d6f60f07785c6e5e48d2529cc7cf734.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF'],<li>Natural stress relief</li><li>Homeopathic remedy</li>,"[{'name': 'Age Group', 'value': 'Adult'}, {'name': 'Form', 'value': 'Pastilles'}, {'name': 'Manufacturer Part Number', 'value': '223744'}, {'name': 'Model', 'value': '223744'}, {'name': 'Brand', 'value': 'Bach'}, {'name': 'Features', 'value': 'No'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '15.00 x 9.87 x 8.12 Inches'}]",,https://www.walmart.com/ip/Bach-Black-Currant-Flavor-Rescue-Pastilles-1.7-oz/21090057,0,Walmart.com,Home Page/Health/Medicine Cabinet/Pain Relievers,22,,"{u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
25461648,"Ensure Clear Nutrition Drink, Mixed Fruit, 10 fl oz (Pack of 4)",6.97,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/5de38bca-783c-4371-8269-92efb9545f62_1.e6a1e98325fdcdd0032519d70dce7c66.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6a2f03e1-5a67-4569-8cef-8ad24144339c_1.f30559e7c195deaaf8a211c371af66e7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b70aa167-59a3-45ab-907c-f411ed8f534e_1.025c1beca76c29faeb0a4f41d3c5821c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/aa9d541b-c923-4455-accf-662b62d32728_1.ec7da13ed6b5d0a22859412778e0868b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/be625009-7756-4412-b70d-745513ec7f62_1.a545c5437236b30ac1b8f5ae7a75d3e0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b793bc6d-15c5-49bc-be17-7d4c206e77a0_1.def78a3ab585ba20655c321345e0a6fa.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/729bd9f2-8244-4163-b300-164001bfa17a_1.796306b2bd5d1982ef43285a600de641.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",<li>Clear protein drink</li><li>Contains no fruit juice</li><li>Suitable for lactose intolerance</li>,"[{'name': 'Type', 'value': 'General Nutrition'}, {'name': 'Capacity', 'value': '4 - 10 fl oz (296 ml) bottles [1.25 qt (1.18 lt)]'}, {'name': 'Flavor', 'value': 'Mixed Fruit'}, {'name': 'Count', 'value': '4'}, {'name': 'Form', 'value': 'Liquids'}, {'name': 'Container Type', 'value': 'Box'}, {'name': 'Model', 'value': '62479'}, {'name': 'Brand', 'value': 'Ensure'}, {'name': 'Features', 'value': 'No'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '4.96 x 4.96 x 6.46 Inches'}]",,https://www.walmart.com/ip/Ensure-Clear-Mixed-Fruit-Nutritional-Drink-10-fl-oz-4-count/25461648,124,Walmart.com,Home Page/Health/Diet & Nutrition/Nutritional Bars & Drinks,270,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
27291502,"Equate Advanced Lubricant Eye Drops, 0.5 fl oz, (Pack of 2)",9.97,PACKS OF,2-Day Shipping,['https://i5.walmartimages.com/asr/b567f16b-eef7-462a-a2fa-9b1afec806b9_1.d1234ef619a20347341580e95610e86d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF'],<li>For the temporary relief of burning and irritation due to dryness of the eye</li><li>Extended protection</li><li>Fast symptom relief</li>,"[{'name': 'Type', 'value': 'Eye Drops'}, {'name': 'Form', 'value': 'Liquids'}, {'name': 'Manufacturer Part Number', 'value': 'EDSY0052WMWM'}, {'name': 'Container Type', 'value': 'BOTTLE IN BOX'}, {'name': 'Model', 'value': 'EDSY0052WMWM'}, {'name': 'Brand', 'value': 'equate'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '1.73 x 1.89 x 4.25 Inches'}]",,https://www.walmart.com/ip/Equate-Advanced-Lubricant-Eye-Drops-0.5-fl-oz-Pack-of-2/27291502,14,Walmart.com,Home Page/Health/Walmart Vision Centers/Eye Care,152,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
27662017,"Glucerna Advance Shake, Vanilla, 8 fl oz (Pack of 4)",7.88,PACKS OF,2-Day Shipping,"['https://i5.walmartimages.com/asr/ad52e979-5b14-4ce9-8735-9c22d83929b2_1.28431b99979cf870bf6183e99c47aefe.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c0106e87-9d10-434d-b0ff-1b662f8b51d1_1.6bf8eca5c942a3f1b05d57d0bac7dcb4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/690417c3-ebd0-487c-a95d-80c97106953b_1.b1f345e041fd8cedaa712d7203564a0e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/a8a91941-39d9-4087-b4fa-ad39e7cef451_1.5d9a20da30d2e0b57ceeddee55306081.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/cc0ef5af-840a-4d5b-bc6d-ed274618d5cf_1.3f7a5dbbc1b6fe62d7395ddd9971c92e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/8f3f0705-2f13-4063-941f-1b8cdd782ac2_1.e6b463985c615240160af9532cde8221.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/194937fe-3bc7-49c0-8fd9-6de3b8fbcdf6_1.768700a0965b2195701fdae38d3e9865.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Glucerna Advance is a 200-calorie shake and our most advanced nutrition for people with diabetes,"[{'name': 'Type', 'value': 'Other Diabetic Supplements'}, {'name': 'Capacity', 'value': '4 - 8 fl oz (237 ml) bottles'}, {'name': 'Flavor', 'value': 'Vanilla'}, {'name': 'Form', 'value': 'Ready to Drink'}, {'name': 'Container Type', 'value': 'HICONE'}, {'name': 'Model', 'value': '63001'}, {'name': 'Brand', 'value': 'Glucerna'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '4.62 x 4.62 x 5.44 Inches'}]",,https://www.walmart.com/ip/Glucerna-Advance-Vanilla-Shake-8-fl-oz-4-count/27662017,6,Walmart.com,Home Page/Health/Diet & Nutrition/Nutritional Bars & Drinks,25,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:39:34
