Unique Identifier (SKU),Title,Cost,Product Type,Delivery time,Pictures,Bullet points,Details,Options,URL,Reviews,Seller,Category,Inventory,Special Offer,Fulfillment,Date
5026416,Cramer Active Ankle T2,36.99,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/50a2d632-13d3-4a55-92d2-fa362069e664_1.db5377de54ab23eb8c09708c0d705808.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/899412e5-d78a-43f4-8753-84b794685ffb_1.06281efa1307ad40411b95e35278f17d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Awesome ankle protection for chronic instability,"[{'name': 'Type', 'value': 'Ankle Brace'}, {'name': 'Condition', 'value': 'New'}, {'name': 'Manufacturer Part Number', 'value': '1050936'}, {'name': 'Color', 'value': 'Black'}, {'name': 'Model', 'value': '1050936'}, {'name': 'Brand', 'value': 'Cramer'}, {'name': 'Assembled Product Weight', 'value': '0.35 Pounds'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '9.00 x 5.00 x 3.50 Inches'}]","[{'price': '$36.99', 'size': 'Medium'}, {'price': '$36.99', 'size': 'Medium'}, {'price': '$36.99', 'size': 'Large'}, {'price': '$36.99', 'size': 'Large'}]",https://www.walmart.com/ip/Cramer-Active-Ankle-T2/5026416,3,Walmart.com,Home Page/Health/Medicine Cabinet/Braces & Supports,337,,"{u's2SDisplayFlags': [u'PICKUP'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
10250222,"Truform Anti-Embolism Stockings, Knee High, Closed Toe: 18 mmHg, Beige, Medium",13.19 ~ 16.33,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/8f408b16-bf83-45e0-86d2-dd7bb581c0b3_1.f92c3c2ce87fc778cacc122cc71aa48e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d77898c1-79cb-42a2-b5fc-3165dfec4483_1.d45846ce769b1b563cc8e2bc686c3b86.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/a38180a0-5d7f-44a6-ab72-915223e2613c_1.b7f3612ecf1bd378666f8fd938405f5a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>Anti-embolism Surgical Style</li><li>Knee High Stockings, Closed Toe</li><li>Thrombo-embolic deterrent</li><li>Truform model 8808</li>","[{'name': 'Gender', 'value': 'Unisex'}, {'name': 'Recommended Use', 'value': 'Prevention of thromboembolism; Reclining or bed confined home convalescence'}, {'name': 'Cleaning, Care & Maintenance', 'value': 'Wash gently in lukewarm to cold water with a mild soap or detergent. Rinse until the water is clear. Do not wring or twist. Roll in a towel to remove excess water, then air dry flat. Keep stocking out of contact with oils, petroleum-based ointments and direct sunlight.'}, {'name': 'Collection', 'value': 'Anti-Embolism'}, {'name': 'Flexible Spending Account-Eligible', 'value': 'FSA Eligible'}, {'name': 'Certifications & Claims', 'value': 'Latex-Free'}, {'name': 'Manufacturer Part Number', 'value': '8808BG-M'}, {'name': 'Model', 'value': '8808'}, {'name': 'Brand', 'value': 'Truform'}]","[{'actual_color': 'Beige', 'price': '$13.39', 'size': 'Medium'}, {'actual_color': 'Beige', 'price': '$13.39', 'size': 'Medium'}, {'actual_color': 'Beige', 'price': '$13.39', 'size': 'Medium'}, {'actual_color': 'Beige', 'price': '$16.33', 'size': 'Small'}, {'actual_color': 'Beige', 'price': '$16.33', 'size': 'Small'}, {'actual_color': 'Beige', 'price': '$16.33', 'size': 'Small'}, {'actual_color': 'Beige', 'price': '$13.19', 'size': 'Large'}, {'actual_color': 'Beige', 'price': '$13.19', 'size': 'Large'}, {'actual_color': 'Beige', 'price': '$13.19', 'size': 'Large'}, {'actual_color': 'Beige', 'price': '$16.19', 'size': 'X-Large'}, {'actual_color': 'Beige', 'price': '$16.19', 'size': 'X-Large'}, {'actual_color': 'Beige', 'price': '$16.19', 'size': 'X-Large'}]",https://www.walmart.com/ip/Truform-Anti-Embolism-Below-the-Knee-Stocking/10250222,22,Walmart.com,Home Page/Health/Medicine Cabinet/Pain Relievers,2590,,"{u's2SDisplayFlags': [u'PICKUP'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
10250224,"Truform Sheer Pantyhose: 15-20 mmHg, Beige, Medium",14.28 ~ 18.95,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/5913ca68-0a9f-4532-93c0-aaf9b2d74f1f_1.9b06116d1eec1dd55b6c2d8bcc6d7c61.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/a443216c-737d-414e-9112-de415fdf6e20_1.ef55117efe760d6903cf61aec632c749.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/0dc721fc-80f3-4ece-bd0d-97403a1ad7f2_1.e27e07f5e90da2ab019d53d894f7e02e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",<li>15 - 20 Compression Strength</li><li>Sheer Pantyhose</li><li>Therapeutic graduated compression</li><li>Truform model 1775</li>,"[{'name': 'Gender', 'value': 'Women'}, {'name': 'Recommended Use', 'value': 'Tired, aching legs. Moderate varicose veins. Moderate leg, ankle and foot swelling. Post surgery.'}, {'name': 'Cleaning, Care & Maintenance', 'value': 'Wash gently in lukewarm to cold water with a mild soap or detergent. Rinse until the water is clear. Do not wring or twist. Roll in a towel to remove excess water, then air dry flat. Keep stocking out of contact with oils, petroleum-based ointments and direct sunlight.'}, {'name': 'Collection', 'value': 'Lites'}, {'name': 'Type', 'value': 'Support Hose & Socks'}, {'name': 'Flexible Spending Account-Eligible', 'value': 'FSA Eligible'}, {'name': 'Certifications & Claims', 'value': 'Latex-Free'}, {'name': 'Is Assembly Required', 'value': 'Y'}, {'name': 'Brand', 'value': 'Truform'}, {'name': 'Condition', 'value': 'New'}, {'name': 'Manufacturer Part Number', 'value': '1775BG-M'}, {'name': 'Model', 'value': '1775'}, {'name': 'Country of Origin - Components', 'value': 'USA'}, {'name': 'Country of Origin - Assembly', 'value': 'US'}]","[{'actual_color': 'Beige', 'price': '$18.11', 'size': 'X-Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'X-Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'X-Tall'}, {'actual_color': 'Black', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Black', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Black', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Black', 'price': '$18.95', 'size': 'X-Tall'}, {'actual_color': 'Black', 'price': '$18.95', 'size': 'X-Tall'}, {'actual_color': 'Black', 'price': '$18.95', 'size': 'X-Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Tall'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Medium'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Medium'}, {'actual_color': 'Beige', 'price': '$18.11', 'size': 'Medium'}, {'actual_color': 'Black', 'price': '$16.23', 'size': 'Petit'}, {'actual_color': 'Black', 'price': '$16.23', 'size': 'Petit'}, {'actual_color': 'Black', 'price': '$16.23', 'size': 'Petit'}, {'actual_color': 'Beige', 'price': '$17.08', 'size': 'Petite'}, {'actual_color': 'Beige', 'price': '$17.08', 'size': 'Petite'}, {'actual_color': 'Beige', 'price': '$17.08', 'size': 'Petite'}, {'actual_color': 'Black', 'price': '$14.28', 'size': 'Medium'}, {'actual_color': 'Black', 'price': '$14.28', 'size': 'Medium'}, {'actual_color': 'Black', 'price': '$14.28', 'size': 'Medium'}]",https://www.walmart.com/ip/Truform-LITES-Sheer-Support-Panty-Hose/10250224,15,Walmart.com,Home Page/Health/Medicine Cabinet/Braces & Supports,796,,"{u's2SDisplayFlags': [u'PICKUP'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': True}",2017-03-02 17:45:12
10311775,"Always Dailies Xtra Protection Long Unscented Pantiliners, (Choose your Count)",3.27 ~ 6.97,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/9472a658-9ab8-4ee2-a86c-da374fdd4895_1.28fb15d15452d2be739dfbffb69a428f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/05d4325d-ca8c-4291-8d34-50cf40edb570_1.aeff0c32a88bfe262d5ac6a4719db2d0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/55b4c064-87ce-482d-8073-8c6884e35905_1.5187d6f030c4f8cf0e4fc09daedd221f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/7bcfd968-91c4-4872-bcaa-15018f2a9ace_3.9d20f9fcffda86b812f3f89942c66e47.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/6f513350-1beb-49e6-8126-2b9dd7ac6a76_2.bd0f1c08513993a2a8bd2c18ec17ca26.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/ea21c4e4-8c0a-4a48-8ca5-93c6d3bcbe23_1.7dc30c6c34da2439a340dce222c85c47.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/cf676d06-eab8-4147-9ee1-93b465df3ae9_3.7d9c3f9f0b1cc9175a6e0f175d8354e4.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/f60e36bc-b9c1-4b4d-813f-9878c5f4c145_2.33ca99dc242372e1139300f93e4de2ff.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/c1d25955-414c-421b-90c1-5593cc354ba7_2.546b4847cf9570379d74a7ab10ccee67.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/5925cd12-8258-41cb-9754-0bb86e818bfd_1.d92416ae7cb28836bf033bf3b91a2126.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/4e02e043-9d64-4e33-bf1a-bbdc9a5b4ce8_1.0b4ee2c2b4563847cc14f4d8d918066d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/e582fca7-0081-4242-88eb-d2c1c4438588_1.511d3a6f7e8455ace29bce72041ed556.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/fc74ebc8-1215-4a46-b7d6-608e369cdb25_2.aae5906c5f14d8fe56d08b1d03248089.png?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/0dbaca32-ea46-43ed-b387-414dda563837_1.1b3476ab142113d3e21ad40b86d4054f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/60765115-1c6b-4434-a06e-20c34d025cb7_1.ee9714422d14f5e94392e3e5ee05f9be.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/2e5582a5-ece4-4893-acc6-52070bc24796_1.95765e8a057e81bd447829be3f8498a8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/2be6e90b-db60-4fa2-a136-9b4ad4bf3f75_1.efd2dd70d49276c0145df1a839cc9f35.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/598b0928-fb7c-4fd8-a04a-d80133af31e5_1.5f01d63dd8c68368fb7d3d0135dbc742.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d2dd2c8f-bb88-4f7a-8cbd-19b33c3a4016_1.8a3ad2cc636014f73667a0385b67991c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9ae2e7b7-9f80-4ee2-9d4e-5d7bc00c9fe5_1.0732554f09aa10a0a9c636c78906d8e9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",<li>LeakGuard RapidDry helps keep you 5X drier (Vs Always Thin)?Absorbs leaks and odors in seconds</li>,"[{'name': 'Thickness', 'value': 'NOT STATED'}, {'name': 'Type', 'value': 'Pantiliners'}, {'name': 'Capacity', 'value': '108 liners'}, {'name': 'Absorbency', 'value': 'NOT STATED'}, {'name': 'Scent', 'value': 'Unscented'}, {'name': 'Model', 'value': '3700007550'}, {'name': 'Brand', 'value': 'Always'}, {'name': 'Recommended Use', 'value': 'ADHESIVE'}, {'name': 'Size', 'value': 'LONG'}, {'name': 'Form', 'value': 'Shelf Staple'}, {'name': 'Container Type', 'value': 'Box'}, {'name': 'Features', 'value': 'No'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '6.30 x 6.46 x 7.17 Inches'}]","[{'price': '$3.27', 'number_of_pieces': '40 Liners'}, {'price': '$3.27', 'number_of_pieces': '40 Liners'}, {'price': '$6.97', 'number_of_pieces': '108 Liners'}, {'price': '$6.97', 'number_of_pieces': '108 Liners'}, {'price': '$5.47', 'number_of_pieces': '80 Liners'}, {'price': '$5.47', 'number_of_pieces': '80 Liners'}]",https://www.walmart.com/ip/Always-Xtra-Protection-Long-Daily-Liners-Unscented-108-Count/10311775,120,Walmart.com,Home Page/Beauty/Personal Care/Feminine Care/Feminine Care,695,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:39:34
14061192,Jobri Premium Visco Lumbar,58.99,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/02ec156a-b9a7-481c-989d-ece9f81d7787_1.a57515698756503cb3fdd2e2e490e26b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/58cc8eed-3a62-4df8-b954-b864d9c29de0_1.4bc8b4e44a646b3d83210e72ccd8c878.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","Features:<li>Contoured lumbar support</li><li>Features all the benefits of the regular lumbar supports, with a contour shape to hug the back</li><li>Adjustable strap for easy attachment to user's</li>","[{'name': 'Assembled Product Weight', 'value': '2.4 Pounds'}, {'name': 'Manufacturer Part Number', 'value': 'A6006N'}, {'name': 'Brand', 'value': 'Jobri'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '3.00 x 13.00 x 15.00 Inches'}, {'name': 'Country of Origin - Components', 'value': 'Imported'}, {'name': 'Country of Origin - Assembly', 'value': 'Imported'}]","[{'actual_color': 'Gray', 'price': '$58.99'}, {'actual_color': 'Gray', 'price': '$58.99'}, {'actual_color': 'Black', 'price': '$58.99'}, {'actual_color': 'Black', 'price': '$58.99'}, {'actual_color': 'Navy', 'price': '$58.99'}, {'actual_color': 'Navy', 'price': '$58.99'}]",https://www.walmart.com/ip/Jobri-Premium-Visco-Lumbar/14061192,0,Wayfair,Home Page/Health/Medicine Cabinet/Braces & Supports,35,,"{u's2HDisplayFlags': [u'MARKETPLACE', u'FREE_SHIPPING'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
14061205,Jobri LeanOn Back Support,68.99,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/d2d1f65a-4a37-453d-b016-2378d4af2d4f_1.28be0cf911bc0eb350609d9b4bfbe611.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/df7f9029-5e2d-42e6-97da-f83496b5cebc_1.ff1d89d2bc77b72f4e61747a60476710.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",Features:<li>Promotes correct posture while sitting</li><li>Ergonomic back support for the active commuter</li><li>Superior Polyurethane foam</li><li>Premium Polysuede fabric</li><li>Product Type:</li>,"[{'name': 'Assembled Product Weight', 'value': '3.4 Pounds'}, {'name': 'Manufacturer Part Number', 'value': 'BLOGR/B'}, {'name': 'Brand', 'value': 'Jobri'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '2.00 x 15.00 x 19.00 Inches'}, {'name': 'Country of Origin - Components', 'value': 'Imported'}, {'name': 'Country of Origin - Assembly', 'value': 'Imported'}]","[{'actual_color': 'Black', 'price': '$68.99'}, {'actual_color': 'Black', 'price': '$68.99'}, {'actual_color': 'Blue', 'price': '$68.99'}, {'actual_color': 'Blue', 'price': '$68.99'}, {'actual_color': 'Green', 'price': '$68.99'}, {'actual_color': 'Green', 'price': '$68.99'}]",https://www.walmart.com/ip/Jobri-LeanOn-Back-Support/14061205,0,Wayfair,Home Page/Health/Medicine Cabinet/Braces & Supports,326,,"{u's2HDisplayFlags': [u'MARKETPLACE', u'FREE_SHIPPING'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
14964882,Inspire Washable and Reuseable Absorbent Underpad - 30''X34'',9.48,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/fd47beb3-2b9c-4c83-9d45-f2d3287b4ff3_1.78ce30210b9608fdb64cbdc3a5e82ba9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/74ef8e7c-e7c2-4b51-843a-6bf92788d884_1.cc86130d79f5ce80e4f53cfb59898e81.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/d6488fc8-5545-411f-9bd3-815afa38a6ce_1.d5709cf40822bd3780d3ecf542986325.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","<li>Safeguard central region of the bed where protection is essential.</li>
<li>Sealed edges help to prevent leakage.</li>
<li>Non-slip surface enable pads to remain in place on bed.</li>
<li>Soft</li>","[{'name': 'Age Group', 'value': 'Adult,Teen,Child'}, {'name': 'Pattern', 'value': 'Solid Print'}, {'name': 'Type', 'value': 'Underwear'}, {'name': 'Absorbency', 'value': 'Soft and comfortable,washable Machine washable and dryable,Ultra Absorbency'}, {'name': 'Material', 'value': 'Cotton'}, {'name': 'Manufacturer Part Number', 'value': 'BP3034RT'}, {'name': 'Color', 'value': 'White'}, {'name': 'Container Type', 'value': 'Box'}, {'name': 'Is Hypoallergenic', 'value': 'Y'}, {'name': 'Model', 'value': 'BP3034RT'}, {'name': 'Brand', 'value': 'Inspire'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '30.00 x 34.00 x 0.25 Inches'}]","[{'price': '$9.48', 'size': '30""x34""'}, {'price': '$9.48', 'size': '30""x34""'}]",https://www.walmart.com/ip/Inspire-Washable-and-Reuseable-Absorbent-Underpad-30-X34/14964882,143,Walmart.com,Home Page/Home/Bedding/Mattress Pads & Toppers,50,,"{u's2SDisplayFlags': [u'PICKUP_TODAY'], u'isS2H': True, u'isPUT': True, u'isSOI': False, u'isS2S': True}",2017-03-02 17:39:34
15171866,Cando Foam Wedge with Vinyl Cover,75.99 ~ 182.94,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/4f3f7b46-a169-4d1a-a4a2-2826ed7ba1c2_1.e9af81cea1abdf1d7cacc2f675a41874.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/9a0c767c-5111-41a5-ba56-8f64fd771374_1.c28f0159978053593dd77134277fa94f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/08858b5f-861f-46f7-8e7e-202d0c98982a_1.c28f0159978053593dd77134277fa94f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","Features:<li>Shape: Wedge</li><li>Covered with heavy-duty vinyl-coated nylon and filled with high compression urethane foam</li><li>Ideal for institutional use in physical therapy departments, home</li>","[{'name': 'Assembled Product Weight', 'value': '5 Pounds'}, {'name': 'Manufacturer Part Number', 'value': '31-2005'}, {'name': 'Brand', 'value': 'CanDo'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '40.00 x 30.00 x 16.00 Inches'}, {'name': 'Country of Origin - Components', 'value': 'USA'}, {'name': 'Country of Origin - Assembly', 'value': 'USA'}]","[{'price': '$90.27', 'size': '8"" H x 24"" W x 28"" D'}, {'price': '$90.27', 'size': '8"" H x 24"" W x 28"" D'}, {'price': '$141.49', 'size': '16"" H x 30"" W x 30"" D'}, {'price': '$141.49', 'size': '16"" H x 30"" W x 30"" D'}, {'price': '$75.99', 'size': '4"" H x 20"" W x 22"" D'}, {'price': '$75.99', 'size': '4"" H x 20"" W x 22"" D'}, {'price': '$103.42', 'size': '12"" H x 24"" W x 28"" D'}, {'price': '$103.42', 'size': '12"" H x 24"" W x 28"" D'}, {'price': '$78.95', 'size': '6"" H x 20"" W x 22"" D'}, {'price': '$78.95', 'size': '6"" H x 20"" W x 22"" D'}, {'price': '$84.93', 'size': '6"" H x 24"" W x 28"" D'}, {'price': '$84.93', 'size': '6"" H x 24"" W x 28"" D'}, {'price': '$99.56', 'size': '10"" H x 24"" W x 28"" D'}, {'price': '$99.56', 'size': '10"" H x 24"" W x 28"" D'}, {'price': '$90.79', 'size': '8"" H x 20"" W x 22"" D'}, {'price': '$90.79', 'size': '8"" H x 20"" W x 22"" D'}, {'price': '$122.69', 'size': '8"" H x 30"" W x 20"" D'}, {'price': '$122.69', 'size': '8"" H x 30"" W x 20"" D'}, {'price': '$182.94', 'size': '16"" H x 30"" W x 40"" D'}, {'price': '$182.94', 'size': '16"" H x 30"" W x 40"" D'}]",https://www.walmart.com/ip/Cando-Foam-Wedge-with-Vinyl-Cover/15171866,0,Wayfair,Home Page/Home/Bedding/Bed Pillows,325,,"{u's2HDisplayFlags': [u'MARKETPLACE', u'FREE_SHIPPING'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
15256106,Obusforme Ultra Premium Backrest Support,85.99,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/83dcbf40-3f90-4543-9d97-9c18015b13ea_1.527ab8cf19d20817323cb538642d6cdb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/932f5ccb-c4a6-4357-8e4d-444ed0f2d513_1.3f5abcfca573a817a47c6786dcc76499.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']","The new Obus Ultra Forme Backrest is specially designed and scientifically proven to relieve even chronic back pain. By shifting the spine into a positive neutral curve, the Obus Ultra Forme","[{'name': 'Manufacturer Part Number', 'value': 'OFUF-MD'}, {'name': 'Type', 'value': 'Back Support'}, {'name': 'Brand', 'value': 'ObusForme'}, {'name': 'Assembled Product Weight', 'value': '4.4 Pounds'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '4.90 x 15.00 x 30.50 Inches'}]","[{'price': '$85.99', 'size': 'Medium'}, {'price': '$85.99', 'size': 'Medium'}, {'price': '$85.99', 'size': 'Small'}, {'price': '$85.99', 'size': 'Small'}]",https://www.walmart.com/ip/Obusforme-Ultra-Premium-Backrest-Support/15256106,1,Wayfair,Home Page/Health/Medicine Cabinet/Braces & Supports,20,,"{u's2HDisplayFlags': [u'MARKETPLACE', u'FREE_SHIPPING'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
15651367,Baseline Acuangle Inclinometer,81.35,VARIANT,2-Day Shipping,"['https://i5.walmartimages.com/asr/5ddc99ac-e1e1-412d-afd6-a289e6df641e_1.7bd1946a879fe2fd942c8a08bfb9277e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF', 'https://i5.walmartimages.com/asr/b307fe12-1362-414c-b97b-5032ff572b9d_1.dd9a787efa3e1ae2858f2648059d1c6a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF']",<li>Pointer is dampened by fluid</li><li>Adjustable legs</li>,"[{'name': 'Manufacturer Part Number', 'value': '12-1149'}, {'name': 'Color', 'value': 'Standard'}, {'name': 'Model', 'value': '12-1149'}, {'name': 'Brand', 'value': 'Baseline Home Medical'}, {'name': 'Assembled Product Weight', 'value': '0.3 Pounds'}]","[{'package_quantity': '1/EA', 'price': '$81.35'}, {'package_quantity': '1/EA', 'price': '$81.35'}, {'package_quantity': 'Set of 2', 'price': '$150.1'}, {'package_quantity': 'Set of 2', 'price': '$150.1'}]",https://www.walmart.com/ip/Baseline-Acuangle-Inclinometer/15651367,0,OJCommerce,Home Page/Health/Medicine Cabinet/Home Diagnostic Tests,45,,"{u's2HDisplayFlags': [u'MARKETPLACE', u'FREE_SHIPPING'], u'isS2H': True, u'isPUT': False, u'isSOI': False, u'isS2S': False}",2017-03-02 17:45:12
